,year,depth_range,temperature,salinity,temp_variation,sal_variation,temp_var_ytoy,sal_var_ytoy
0,2009,"(0, 100]",7.594,33.282,0.0,0.0,0.0,0.0
1,2010,"(0, 100]",8.408,33.89,0.8139999999999992,0.6080000000000041,0.8139999999999992,0.6080000000000041
2,2011,"(0, 100]",7.222,34.026,-0.3719999999999999,0.7440000000000069,-1.185999999999999,0.13600000000000279
3,2012,"(0, 100]",8.786,33.94,1.1919999999999993,0.6580000000000013,1.5639999999999992,-0.08600000000000563
4,2013,"(0, 100]",7.947,33.965,0.35299999999999976,0.6830000000000069,-0.8389999999999995,0.025000000000005684
5,2014,"(0, 100]",8.618,33.987,1.024,0.7050000000000054,0.6710000000000003,0.021999999999998465
6,2015,"(0, 100]",8.483,33.881,0.8890000000000002,0.5990000000000038,-0.1349999999999998,-0.10600000000000165
7,2016,"(0, 100]",9.526,33.965,1.9319999999999995,0.6830000000000069,1.0429999999999993,0.08400000000000318
8,2017,"(0, 100]",10.137,34.392,2.543,1.1100000000000065,0.6110000000000007,0.4269999999999996
9,2018,"(0, 100]",5.377,31.783,-2.2170000000000005,-1.4989999999999952,-4.760000000000001,-2.6090000000000018
10,2009,"(100, 200]",6.872,34.626,0.0,0.0,0.0,0.0
11,2010,"(100, 200]",6.784,34.678,-0.08800000000000008,0.0519999999999996,-0.08800000000000008,0.0519999999999996
12,2011,"(100, 200]",6.16,34.683,-0.7119999999999997,0.05700000000000216,-0.6239999999999997,0.005000000000002558
13,2012,"(100, 200]",7.019,34.773,0.14700000000000024,0.14700000000000557,0.859,0.09000000000000341
14,2013,"(100, 200]",6.323,34.695,-0.5489999999999995,0.06900000000000261,-0.6959999999999997,-0.07800000000000296
15,2014,"(100, 200]",6.881,34.728,0.009000000000000341,0.10200000000000387,0.5579999999999998,0.03300000000000125
16,2015,"(100, 200]",7.11,34.796,0.23800000000000043,0.1700000000000017,0.2290000000000001,0.06799999999999784
17,2016,"(100, 200]",8.25,34.982,1.3780000000000001,0.35600000000000165,1.1399999999999997,0.18599999999999994
18,2017,"(100, 200]",8.304,34.919,1.4320000000000004,0.29299999999999926,0.05400000000000027,-0.06300000000000239
19,2018,"(100, 200]",6.963,34.526,0.09100000000000019,-0.09999999999999432,-1.3410000000000002,-0.3929999999999936
20,2009,"(200, 300]",7.617,35.011,0.0,0.0,0.0,0.0
21,2010,"(200, 300]",7.161,34.984,-0.4560000000000004,-0.027000000000001023,-0.4560000000000004,-0.027000000000001023
22,2011,"(200, 300]",6.452,34.958,-1.165,-0.05300000000000438,-0.7089999999999996,-0.026000000000003354
23,2012,"(200, 300]",7.16,35.02,-0.45699999999999985,0.009000000000000341,0.7080000000000002,0.06200000000000472
24,2013,"(200, 300]",6.683,34.985,-0.9340000000000002,-0.026000000000003354,-0.4770000000000003,-0.035000000000003695
25,2014,"(200, 300]",7.203,35.028,-0.4139999999999997,0.016999999999995907,0.5200000000000005,0.04299999999999926
26,2015,"(200, 300]",7.381,35.057,-0.23599999999999977,0.045999999999999375,0.17799999999999994,0.029000000000003467
27,2016,"(200, 300]",8.106,35.156,0.4889999999999999,0.14499999999999602,0.7249999999999996,0.09899999999999665
28,2017,"(200, 300]",8.504,35.161,0.8869999999999996,0.14999999999999858,0.3979999999999997,0.005000000000002558
29,2018,"(200, 300]",8.211,35.069,0.5940000000000003,0.05799999999999983,-0.29299999999999926,-0.09199999999999875
30,2009,"(300, 400]",7.684,35.15,0.0,0.0,0.0,0.0
