data_date,latitude,longitude,depth,temperature,salinity
9/7/2009,48.7,-68.6,200,4.94299984,34.41999817
8/12/2009,48.55,-63.1,200,4.962999821,34.32400131
6/18/2009,48.57,-62.76,400,5.337999821,34.74200058
5/10/2009,48.67,-68.57,200,3.089999914,33.69499969
8/7/2009,51.12,-58.07,100,-1.328999996,32.5909996
8/24/2009,48.62,-68.91,100,1.343000054,33.09700012
9/2/2009,46.67,-56.65,0,5.400000095,32.34999847
7/16/2009,48.19,-61.62,200,3.575000048,33.83100128
9/15/2009,47.97,-63.05,0,0.924000025,31.71999931
8/24/2009,48.62,-68.91,300,5.013000011,34.44900131
7/14/2009,48.68,-68.58,100,2.782999992,33.59400177
6/24/2009,50.24,-65.95,0,4.098999977,31.20400047
6/19/2009,48.17,-63.75,0,11.68200016,27.03000069
8/26/2009,48.88,-68.68,100,1.389999986,31.89599991
8/17/2009,49.45,-63.96,100,0.823000014,32.93899918
7/28/2009,46.97,-62.81,0,18.1060009,28.58699989
7/30/2009,47.43,-59.57,200,4.267000198,33.88999939
6/21/2009,48.7,-68.6,300,4.877999783,34.42100143
9/4/2009,47.37,-63.61,0,15.58899975,28.52499962
9/23/2009,47.31,-61.09,0,3.641000032,31.22999954
4/25/2009,48.79,-68.25,0,0.740999997,28.14999962
7/27/2009,46.72,-62.88,0,9.065999985,29.19799995
8/8/2009,50.57,-58.01,0,0.855000019,31.94400024
8/18/2009,48.98,-67.83,100,-0.059,32.46099854
6/24/2009,49.89,-65.89,100,0.193000004,32.72700119
6/20/2009,48.37,-68.99,0,4.107999802,28.17399979
8/8/2009,50.57,-58.01,100,1.707000017,33.2140007
6/30/2009,49.24,-66.2,100,0.662999988,32.88899994
7/30/2009,47.57,-59.35,100,0.620000005,32.40100098
6/9/2009,48.79,-60.97,200,3.970000029,33.9659996
7/6/2009,48.7,-68.53,300,5.008999825,34.45299911
6/17/2009,48.22,-69.89,0,2.351999998,29.13299942
8/9/2009,49.25,-66.17,100,3.84100008,31.48200035
7/17/2009,48.06,-62.04,0,1.02699995,31.70800018
6/18/2009,47.83,-62.75,0,2.243000031,31.07600021
9/22/2009,48.67,-68.58,300,4.883999825,34.39400101
8/30/2009,48.13,-64.63,100,2.09100008,31.01300049
8/1/2009,48.15,-60.08,0,14.60000038,30.80699921
6/5/2009,49.72,-66.25,100,3.582000017,33.86899948
6/4/2009,48.67,-68.57,200,3.095000029,32.8390007
7/26/2009,49.72,-66.26,0,-0.614000022,32.375
4/18/2009,48.77,-68.27,0,-0.148000002,31.35099983
8/9/2009,48.68,-68.59,300,5.013999939,34.45100021
5/3/2009,48.66,-68.59,100,-0.54400003,31.65800095
6/23/2009,48.67,-68.59,300,5.144000053,34.51499939
7/30/2009,47.74,-60.06,500,5.053999901,34.83599854
8/18/2009,49.72,-66.25,100,2.736999989,33.59000015
9/14/2009,48.67,-68.58,0,6.657999992,27.5340004
9/19/2009,45.9,-62.04,0,8.923999786,29.50600052
5/3/2009,48.66,-68.59,200,3.693000078,33.91400146
8/8/2009,50.33,-58.65,0,7.953999996,31.42499924
6/10/2009,48.21,-61.61,200,5.163000107,34.42100143
7/30/2009,47.27,-59.78,0,17.44400024,29.67700005
