year,longitude,latitude,fish_type
2009.0,-59.0222500000,49.1955000000,sand_lances
2009.0,-61.5498333300,48.8740000000,sand_lances
2009.0,-65.7736666700,49.3169166700,sand_lances
2011.0,-57.1665833300,51.0989166700,sand_lances
2011.0,-67.6596666700,49.1016666700,sand_lances
2011.0,-67.6594166700,49.2066666700,sand_lances
2011.0,-68.8280000000,48.5744166700,sand_lances
2011.0,-69.1540833300,48.3336666700,sand_lances
2011.0,-69.0786666700,48.3711666700,sand_lances
2011.0,-68.2225000000,48.7133333300,sand_lances
2011.0,-68.2876666700,48.7722500000,sand_lances
2011.0,-67.9805000000,48.8688333300,sand_lances
2011.0,-67.8370000000,48.8048333300,sand_lances
2011.0,-67.4596666700,48.9057500000,sand_lances
2011.0,-66.3259166700,49.6811666700,sand_lances
2012.0,-60.1040000000,49.5227500000,sand_lances
2012.0,-60.1331666700,49.8943333300,sand_lances
2012.0,-58.4176666700,50.4638333300,sand_lances
2012.0,-58.3059166700,50.4893333300,sand_lances
2012.0,-57.6835000000,50.8760000000,sand_lances
2012.0,-57.3140833300,51.0621666700,sand_lances
2012.0,-57.3184166700,51.0513333300,sand_lances
2012.0,-58.0700833300,50.3882500000,sand_lances
2012.0,-59.2861666700,49.5025000000,sand_lances
2012.0,-59.7853333300,49.2344166700,sand_lances
2012.0,-59.6561666700,47.7095833300,sand_lances
2012.0,-63.4935000000,49.2353333300,sand_lances
2012.0,-64.0558333300,49.5967500000,sand_lances
2012.0,-65.0360833300,49.9183333300,sand_lances
2012.0,-65.3486666700,50.0749166700,sand_lances
2012.0,-66.9392500000,49.6507500000,sand_lances
2012.0,-66.5260000000,49.5498333300,sand_lances
2012.0,-66.3107500000,49.4737500000,sand_lances
2012.0,-66.2565833300,49.6309166700,sand_lances
2012.0,-65.5832500000,49.6197500000,sand_lances
2012.0,-65.6331666700,50.2019166700,sand_lances
2012.0,-67.7225000000,49.2845000000,sand_lances
2012.0,-67.9794166700,49.2620833300,sand_lances
2012.0,-68.3111666700,48.9830000000,sand_lances
2012.0,-68.4868333300,48.7281666700,sand_lances
