"year","depth_range","temperature","salinity"
"2009","100, 200","2.196","33.249"
"2009","200, 300","4.488","34.148"
"2009","300, 400","5.055","34.550"
"2009","400, 500","5.060","34.774"
"2009","500, 600","5.183","34.529"
"2009","0, 100","8.302","31.109"
"2010","100, 200","2.115","33.035"
"2010","200, 300","4.545","34.022"
"2010","300, 400","5.024","34.469"
"2010","400, 500","5.313","34.853"
"2010","500, 600","5.350","34.890"
"2010","0, 100","9.657","30.739"
"2011","100, 200","2.674","33.211"
"2011","500, 600","5.075","34.909"
"2011","400, 500","5.125","34.897"
"2011","200, 300","5.146","34.341"
"2011","300, 400","5.311","34.641"
"2011","0, 100","8.115","30.880"
"2012","100, 200","2.915","33.258"
"2012","200, 300","5.129","34.211"
"2012","500, 600","5.240","34.905"
"2012","400, 500","5.269","34.895"
"2012","300, 400","5.273","34.542"
"2012","0, 100","7.407","30.898"
"2013","100, 200","2.403","33.095"
"2013","200, 300","5.011","34.187"
"2013","500, 600","5.390","34.900"
"2013","400, 500","5.405","34.881"
"2013","300, 400","5.443","34.603"
"2013","0, 100","6.986","30.956"
"2014","100, 200","2.538","33.096"
"2014","200, 300","5.320","34.226"
"2014","300, 400","5.413","34.549"
"2014","500, 600","5.490","34.880"
"2014","400, 500","5.511","34.878"
"2014","0, 100","10.820","30.946"
"2015","100, 200","3.423","33.456"
"2015","400, 500","5.553","34.907"
"2015","200, 300","5.592","34.345"
"2015","500, 600","5.620","34.910"
"2015","300, 400","5.658","34.605"
"2015","0, 100","11.420","30.649"
"2016","100, 200","3.117","33.220"
"2016","200, 300","5.632","34.244"
"2016","500, 600","5.735","34.920"
"2016","400, 500","5.797","34.917"
"2016","300, 400","5.887","34.625"
"2016","0, 100","10.566","30.855"
"2017","100, 200","2.378","33.039"
"2017","200, 300","5.554","34.179"
"2017","500, 600","5.903","34.958"
"2017","400, 500","5.905","34.954"
"2017","300, 400","5.959","34.624"
"2017","0, 100","11.207","30.683"
"2018","100, 200","2.840","33.294"
"2018","0, 100","5.299","30.728"
"2018","200, 300","5.647","34.391"
"2018","500, 600","5.895","34.980"
"2018","400, 500","6.004","34.994"
"2018","300, 400","6.161","34.835"
